date,rainfall_mm,tmax_c,tmin_c,humidity_pct,ndvi,soil_moisture_index,price_inr_per_qtl,rainfall_deviation_pct,heatwave_index,temperature_anomaly,humidity_stress_index,ndvi_anomaly,price_volatility,pest_suitability_score,is_forecast
2025-09-25,3.35,28.0,20.66,62.52,0.4865,0.3342,2089.36,0.0,0.0,0.0,0.0,0.0,0.0,0.4016968177078589,False
2025-09-26,3.09,29.02,21.18,70.06,0.3926,0.3194,2078.01,-4.037265826936076,0.0,0.38500000000000156,0.002000000000000076,-0.04694999999999999,8.02566196646741,0.5761039858781822,False
2025-09-27,2.37,28.29,19.9,64.36,0.4776,0.2727,2068.75,-19.296247685727238,0.0,-0.41333333333333755,0.0,0.025366666666666704,10.322646624453348,0.4446774322734066,False
2025-09-28,2.51,27.48,21.71,62.38,0.464,0.2553,1990.01,-11.307416499146122,0.0,0.06499999999999773,0.0,0.008825000000000027,45.14213875822327,0.3866063280894803,False
2025-09-29,2.92,28.76,21.9,54.37,0.4932,0.2528,2086.67,2.528088999968752,0.0,0.6400000000000006,0.0,0.030419999999999947,41.35230706986019,0.27400435813544555,False
2025-09-30,3.91,28.1,22.05,65.43,0.4787,0.2868,1997.54,29.256188675640114,0.0,0.3208333333333364,0.0,0.013266666666666649,45.525934440346035,0.46117829559983387,False
2025-10-01,3.73,30.61,20.72,54.45,0.5116,0.295,2104.19,19.332717763755753,0.0,0.7807142857142857,0.0,0.03957142857142859,46.04808082449317,0.313673677824596,False
2025-10-02,2.01,33.56,21.86,57.82,0.4798,0.2681,2093.95,-32.691491773464456,1.0,2.4725,0.0,0.006799999999999973,44.36543474372815,0.4456159982260381,False
2025-10-03,0.65,30.29,22.7,69.82,0.4729,0.223,2102.18,-76.16134126112179,1.0,1.1177777777777784,0.0,-8.88888888889161e-05,43.45086922158298,0.6021903579543201,False
2025-10-04,4.19,30.41,24.5,69.74,0.4989,0.2624,2102.49,45.84056879896666,1.0,1.8699999999999974,0.0,0.023320000000000007,42.405046410906124,0.6035311071174814,False
2025-10-05,4.39,33.0,26.09,66.13,0.4999,0.3008,2084.36,45.80312488422784,2.0,3.600000000000005,0.0,0.02210909090909091,40.42077867991783,0.5963789874438773,False
2025-10-06,2.4,33.09,22.95,58.98,0.4881,0.2849,2055.58,-18.91891252739443,3.0,1.9020833333333336,0.0,0.009449999999999958,38.848014915549825,0.4569568044405683,False
2025-10-07,4.55,32.94,23.28,66.32,0.4941,0.3035,2063.95,47.61665537767607,4.0,1.8388461538461556,0.0,0.014261538461538437,37.24683428296369,0.5985915520215637,False
2025-10-08,0.74,31.2,25.27,65.42,0.5173,0.2382,2127.87,-74.61403958351985,4.0,1.8235714285714302,0.0,0.03478571428571425,38.92766341011774,0.538324680224655,False
